code,name,type,category_name,qty,price_rent,price_sell,purchase_price,color,size,lifetime_gap,status,vendor_id,main_image,notes,is_active
I-69[34],INDO-69 [34],rent,INDOWESTERN,1,,,,PICH,34,3,available,,,ANIMAL MOTA FLOWER PRINT,TRUE
I-70[34],INDO-70 [34],rent,INDOWESTERN,1,,,,MARUN ,34,3,available,,,VELVET RAVUBHA,TRUE
I-71[36],INDO-71 [36],rent,INDOWESTERN,1,,,,PISTA,36,3,available,,,ANIMAL HARAN GHODA JORJET,TRUE
I-72[34],INDO-72 [34],rent,INDOWESTERN,1,,,,MARUN ,34,3,available,,,VELVET MULTI CHEX,TRUE
I-73[38],INDO-73 [38],rent,INDOWESTERN,1,,,,WHITE,38,3,available,,,LAKHNAVI SAME BOTUN SAME FEBRIC,TRUE
I-74[34],INDO-74 [34],rent,INDOWESTERN,1,,,,GULABI,34,3,available,,,LALABHAI VADU,TRUE
I-75[36],INDO-75 [36],rent,INDOWESTERN,1,,,,BLUE,36,3,available,,,VELVET TIKI VADU,TRUE
I-76[34],INDO-76 [34],rent,INDOWESTERN,1,,,,GULABI,34,3,available,,,ANIMAL HARAN GHODA JORJET,TRUE
I-77[36],INDO-77 [36],rent,INDOWESTERN,1,,,,WHITE,36,3,available,,,RANI FUDDI NEW CHANA MAMRA,TRUE
I-78[42],INDO-78 [42],rent,INDOWESTERN,1,,,,GULABI,42,3,available,,,ANIMAL HARAN GHODA JORJET,TRUE
I-79[34],INDO-79 [34],rent,INDOWESTERN,1,,,,WHITE,34,3,available,,,RANI DAMAN TUCHUP,TRUE
I-80[32],INDO-80 [32],rent,INDOWESTERN,1,,,,GULABI,32,3,available,,,ANIMAL HARAN GHODA JORJET,TRUE
I-81[38],INDO-81 [38],rent,INDOWESTERN,1,,,,PICH,38,3,available,,,ANIMAL HARAN GHODA JORJET,TRUE
I-82[36],INDO-82 [36],rent,INDOWESTERN,1,,,,GULABI,36,3,available,,,JORJET,TRUE
I-83[36],INDO-83 [36],rent,INDOWESTERN,1,,,,SKY,36,3,available,,,WHITE WORK,TRUE
I-84[38],INDO-84 [38],rent,INDOWESTERN,1,,,,WHITE,38,3,available,,,LAKHNAVI FARMA MOR NADIYERI VADI,TRUE
I-85[34],INDO-85 [34],rent,INDOWESTERN,1,,,,PICH,34,3,available,,,ABOJ,TRUE
I-86[34],INDO-86 [34],rent,INDOWESTERN,1,,,,WHITE,34,3,available,,,VELVET ANIMAL MOR HATHI JORJET,TRUE
I-87[38],INDO-87 [38],rent,INDOWESTERN,1,,,,WHITE,38,3,available,,,LAKHNAVI SAME BOTUN SAME FEBRIC,TRUE
