code,name,type,category_name,qty,price_rent,price_sell,purchase_price,color,size,lifetime_gap,status,vendor_id,main_image,notes,is_active
O-269[38],ANARKALI O-269 [38],rent,ANARKALI ,1,,,,WHITE,38,3,available,,,BUTTA VADI,TRUE
O-270,ANARKALI O-270,rent,ANARKALI ,1,,,,WHITE,,3,available,,,BUTTA VADI,TRUE
O-271,ANARKALI O-271,rent,ANARKALI ,1,,,,WHITE,,3,available,,,BUTTA VADI,TRUE
O-272[38],ANARKALI O-272 [38],rent,ANARKALI ,1,,,,WHITE,38,3,available,,,BUTTA VADI,TRUE
O-273,ANARKALI O-273,rent,ANARKALI ,1,,,,WHITE,,3,available,,,BUTTA VADI,TRUE
O-274,ANARKALI O-274,rent,ANARKALI ,1,,,,WHITE,,3,available,,,BUTTA VADI,TRUE
O-275[34],ANARKALI O-275 [34],rent,ANARKALI ,1,,,,WHITE,34,3,available,,,BUTTA VADI,TRUE
O-276,ANARKALI O-276,rent,ANARKALI ,1,,,,WHITE,,3,available,,,BUTTA VADI,TRUE
O-277,ANARKALI O-277,rent,ANARKALI ,1,,,,WHITE,,3,available,,,BUTTA VADI,TRUE
O-278,ANARKALI O-278,rent,ANARKALI ,1,,,,WHITE,,3,available,,,BUTTA VADI,TRUE
O-279[36],ANARKALI O-279 [36],rent,ANARKALI ,1,,,,WHITE,36,3,available,,,BUTTA VADI,TRUE
O-280[40],ANARKALI O-280 [40],rent,ANARKALI ,1,,,,WHITE,40,3,available,,,BUTTA VADI,TRUE
O-281[36],ANARKALI O-281 [36],rent,ANARKALI ,1,,,,WHITE,36,3,available,,,BUTTA VADI,TRUE
O-282,ANARKALI O-282,rent,ANARKALI ,1,,,,WHITE,,3,available,,,BUTTA VADI,TRUE
O-283,ANARKALI O-283,rent,ANARKALI ,1,,,,WHITE,,3,available,,,BUTTA VADI,TRUE
O-284[34],ANARKALI O-284 [34],rent,ANARKALI ,1,,,,WHITE,34,3,available,,,BUTTA VADI,TRUE
O-285[34],ANARKALI O-285 [34],rent,ANARKALI ,1,,,,WHITE,34,3,available,,,BUTTA VADI,TRUE
O-286,ANARKALI O-286,rent,ANARKALI ,1,,,,WHITE,,3,available,,,BUTTA VADI,TRUE
O-287[40],ANARKALI O-287 [40],rent,ANARKALI ,1,,,,WHITE,40,3,available,,,BUTTA VADI,TRUE
O-288[40],ANARKALI O-288 [40],rent,ANARKALI ,1,,,,WHITE,40,3,available,,,BUTTA VADI,TRUE
O-289[42],ANARKALI O-289 [42],rent,ANARKALI ,1,,,,WHITE,42,3,available,,,BUTTA VADI,TRUE
O-290,ANARKALI O-290,rent,ANARKALI ,1,,,,WHITE,,3,available,,,BUTTA VADI,TRUE
O-291,ANARKALI O-291,rent,ANARKALI ,1,,,,WHITE,,3,available,,,BUTTA VADI,TRUE
O-292,ANARKALI O-292,rent,ANARKALI ,1,,,,WHITE,,3,available,,,BUTTA VADI,TRUE
O-293,ANARKALI O-293,rent,ANARKALI ,1,,,,WHITE,,3,available,,,BUTTA VADI,TRUE
O-294[38],ANARKALI O-294 [38],rent,ANARKALI ,1,,,,WHITE,38,3,available,,,BUTTA VADI,TRUE
O-295[40],ANARKALI O-295 [40],rent,ANARKALI ,1,,,,WHITE,40,3,available,,,BUTTA VADI,TRUE
O-296[34],ANARKALI O-296 [34],rent,ANARKALI ,1,,,,WHITE,34,3,available,,,BUTTA VADI,TRUE
O-297,ANARKALI O-297,rent,ANARKALI ,1,,,,WHITE,,3,available,,,BUTTA VADI,TRUE
O-298[38],ANARKALI O-298 [38],rent,ANARKALI ,1,,,,WHITE,38,3,available,,,BUTTA VADI,TRUE
O-299[40],ANARKALI O-299 [40],rent,ANARKALI ,1,,,,WHITE,40,3,available,,,BUTTA VADI,TRUE
O-300,ANARKALI O-300,rent,ANARKALI ,1,,,,WHITE,,3,available,,,BUTTA VADI,TRUE
O-301,ANARKALI O-301,rent,ANARKALI ,1,,,,WHITE,,3,available,,,BUTTA VADI,TRUE
O-302[40],ANARKALI O-302 [40],rent,ANARKALI ,1,,,,WHITE,40,3,available,,,BUTTA VADI,TRUE
O-303,ANARKALI O-303,rent,ANARKALI ,1,,,,WHITE,,3,available,,,BUTTA VADI,TRUE
O-304,ANARKALI O-304,rent,ANARKALI ,1,,,,WHITE,,3,available,,,BUTTA VADI,TRUE
O-305,ANARKALI O-305,rent,ANARKALI ,1,,,,WHITE,,3,available,,,BUTTA VADI,TRUE
O-306[34],ANARKALI O-306 [34],rent,ANARKALI ,1,,,,WHITE,34,3,available,,,BUTTA VADI,TRUE
O-307,ANARKALI O-307,rent,ANARKALI ,1,,,,WHITE,,3,available,,,BUTTA VADI,TRUE
O-308,ANARKALI O-308,rent,ANARKALI ,1,,,,WHITE,,3,available,,,BUTTA VADI,TRUE
O-309[34],ANARKALI O-309 [34],rent,ANARKALI ,1,,,,WHITE,34,3,available,,,BUTTA VADI,TRUE
O-310[40],ANARKALI O-310 [40],rent,ANARKALI ,1,,,,WHITE,40,3,available,,,BUTTA VADI,TRUE
