code,name,type,category_name,qty,price_rent,price_sell,purchase_price,color,size,lifetime_gap,status,vendor_id,main_image,notes,is_active
H-135[38],ANGARAKHU H-135 [38],rent,ANGARAKHU-ACHAKAN,1,7000,,,PINK ,38,3,available,,,VELVET VEL WORK,TRUE
H-136[36],ANGARAKHU H-136 [36],rent,ANGARAKHU-ACHAKAN,1,11000,,,PINK ,36,3,available,,,TISHYU CROSS DORIVADU SATYAJITSINH,TRUE
H-137[32],ACHAKAN H-137 [32],rent,ANGARAKHU-ACHAKAN,1,3000,,,WHITE,32,3,available,,,VEL PRINT,TRUE
H-138[36],ACHAKAN H-138 [36],rent,ANGARAKHU-ACHAKAN,1,3000,,,WHITE ,36,3,available,,,JINI VEL PRINT,TRUE
H-139[36],ANGARAKHU H-139 [36],rent,ANGARAKHU-ACHAKAN,1,70000,,,MAROON,36,3,available,,,VELVET CROSS PATTERN ,TRUE
H-140[34],ACHAKAN H-140 [34],rent,ANGARAKHU-ACHAKAN,1,3000,,,PICH ,34,3,available,,,FLOWER PRINT ,TRUE
H-141[36],ACHAKAN H-141 [36],rent,ANGARAKHU-ACHAKAN,1,3000,,,,36,3,available,,,,TRUE
H-142[40],ANGARAKHU H-142 [40],rent,ANGARAKHU-ACHAKAN,1,11000,,,PICH ,40,3,available,,,STACHYU GOLDEN WORK MAROON TAPKI BUTTO,TRUE
H-143[38],ACHAKAN H-143 [38],rent,ANGARAKHU-ACHAKAN,1,3000,,,PINK,38,3,available,,,GOLDEN BUTTI VADU,TRUE
H-144[36],ANGARAKHU H-144 [36],rent,ANGARAKHU-ACHAKAN,1,7000,,,MAROON ,36,3,available,,,CROSS HATHI VADU ,TRUE
H-145[38],ANGARAKHU H-145 [38],rent,ANGARAKHU-ACHAKAN,1,7000,,,PINK,38,3,available,,,HATHI VADU,TRUE
H-146[34],ACHAKAN H-146 [34],rent,ANGARAKHU-ACHAKAN,1,3000,,,PICH ,34,3,available,,,BUTTI VADU,TRUE
H-147[40],ACHAKAN H-147 [40],rent,ANGARAKHU-ACHAKAN,1,3000,,,PICH ,40,3,available,,,BUTTTI VADU,TRUE
H-148[40],ACHAKAN H-148 [40],rent,ANGARAKHU-ACHAKAN,1,3000,,,PICH ,40,3,available,,,BUTTTI VADU,TRUE
H-149[38],ANGARAKHU H-149 [38],rent,ANGARAKHU-ACHAKAN,1,7000,,,MAROON ,38,3,available,,,VELVET NICHE BUTTI,TRUE
H-150[32],ACHAKAN H-150 [32],rent,ANGARAKHU-ACHAKAN,1,3000,,,PICH ,32,3,available,,,FLOWER PRINT,TRUE
H-151[38],ACHAKAN H-151 [38],rent,ANGARAKHU-ACHAKAN,1,3000,,,PICH ,38,3,available,,,GOLDEN BUTTI VADU ,TRUE
H-152[40],ANGARAKHU H-152 [40],rent,ANGARAKHU-ACHAKAN,1,7000,,,GREEN,40,3,available,,,VELVET CROSS DORI VADU NICHE HATHI,TRUE
H-153[36],ACHAKAN H-153 [36],rent,ANGARAKHU-ACHAKAN,1,3000,,,PICH ,36,3,available,,,BUTTTI VADU,TRUE
H-154[34],ACHAKAN H-154 [34],rent,ANGARAKHU-ACHAKAN,1,3000,,,PICH ,34,3,available,,,JINI FLOWER PRINT,TRUE
H-155[40],ACHAKAN H-155 [40],rent,ANGARAKHU-ACHAKAN,1,3000,,,PICH ,40,3,available,,,GOLDEN PRINT FULVADU,TRUE
H-156[40],ANGARAKHU H-156 [40],rent,ANGARAKHU-ACHAKAN,1,7000,,,MAROON,40,3,available,,,GALE FUL PRINT,TRUE
H-157[38],ACHAKAN H-157 [38],rent,ANGARAKHU-ACHAKAN,1,3000,,,PINK,38,3,available,,,JINA FUL VEL PRINT,TRUE
H-158[34],ACHAKAN H-158 [34],rent,ANGARAKHU-ACHAKAN,1,3000,,,PINK,34,3,available,,,JINA FLOWER,TRUE
H-159,ACHAKAN H-159 ,rent,ANGARAKHU-ACHAKAN,1,3000,,,PICH ,,3,available,,,JINA FLOWER VADU,TRUE
