code,name,type,category_name,qty,price_rent,price_sell,purchase_price,color,size,lifetime_gap,status,vendor_id,main_image,notes,is_active
S-1399[38],JODHPURI COAT S-1399 [38],rent,JODHPURI COAT,1,,,,JYUT,38,3,available,,,GHODA VADU,TRUE
S-1400[34],JODHPURI COAT S-1400 [34],rent,JODHPURI COAT,1,,,,PICH,34,3,available,,,PRINTED MOR+UT MOTA CHEX,TRUE
S-1401[36],JODHPURI COAT S-1401 [36],rent,JODHPURI COAT,1,,,,PICH,36,3,available,,,ANIMAL PRINT MOR UT,TRUE
S-1402[34],JODHPURI COAT S-1402 [34],rent,JODHPURI COAT,1,,,,GREEN,34,3,available,,,PRINTED BUTTA VADU,TRUE
S-1403[34],JODHPURI COAT S-1403 [34],rent,JODHPURI COAT,1,,,,KHAKHI,34,3,available,,,VELVET RAA LOGO,TRUE
S-1404[40],JODHPURI COAT S-1404 [40],rent,JODHPURI COAT,1,,,,GULABI,40,3,available,,,VELVET RAA LOGO,TRUE
S-1405[34],JODHPURI COAT S-1405 [34],rent,JODHPURI COAT,1,,,,,34,3,available,,,MONOPOLI,TRUE
S-1406[38],JODHPURI COAT S-1406 [38],rent,JODHPURI COAT,1,,,,PISHTA,38,3,available,,,ANIMAL GHODA HARAN,TRUE
S-1407,JODHPURI COAT S-1407 [],rent,JODHPURI COAT,1,,,,OF WHITE,,3,available,,,VELVET MULTI MOTA FULL DAMAN WORK,TRUE
S-1408[34],JODHPURI COAT S-1408 [34],rent,JODHPURI COAT,1,,,,OF WHITE,34,3,available,,,MULTI MOTA FULL DAMAN WORK,TRUE
S-1409[38],JODHPURI COAT S-1409 [38],rent,JODHPURI COAT,1,,,,GULABI,38,3,available,,,HATHI HAND WORK,TRUE
S-1410[38],JODHPURI COAT S-1410 [38],rent,JODHPURI COAT,1,,,,RAMA,38,3,available,,,RAJA RANI PRINT,TRUE
S-1411[40],JODHPURI COAT S-1411 [40],rent,JODHPURI COAT,1,,,,BLUE,40,3,available,,,RAJA RANI PRINT,TRUE
S-1412[38],JODHPURI COAT S-1412 [38],rent,JODHPURI COAT,1,,,,NEVI BLUE,38,3,available,,,BAY GALE WORK KHBHE SINH,TRUE
S-1413[36],JODHPURI COAT S-1413 [36],rent,JODHPURI COAT,1,,,,DARK GULABI,36,3,available,,,HATHI UT PRINT,TRUE
S-1414[34],JODHPURI COAT S-1414 [34],rent,JODHPURI COAT,1,,,,JYUT,34,3,available,,,SING VADU,TRUE
S-1415[34],JODHPURI COAT S-1415 [34],rent,JODHPURI COAT,1,,,,NEVI BLUE,34,3,available,,,BAY GALE WORK KHBHE SINH,TRUE
S-1416[34],JODHPURI COAT S-1416 [34],rent,JODHPURI COAT,1,,,,PICH,34,3,available,,,MULTI FULLDANI HATHI HARAN,TRUE
