code,name,type,category_name,qty,price_rent,price_sell,purchase_price,color,size,lifetime_gap,status,vendor_id,main_image,notes,is_active
S-1249[38],SERVANI-1249[38],rent,SERVANI-INDOWESTERN,1,11000,,,CREAM,38,1,available,,,CREAM SAME DUPATTA VALI,TRUE
S-1250[32],SERVANI-1250[32],rent,SERVANI-INDOWESTERN,1,5000,,,WHITE,32,1,available,,,WHITE MARUN DULHA DULHAN BELT VALI,TRUE
S-1251[36],INDOWESTERN-1251[36],rent,SERVANI-INDOWESTERN,1,5000,,,CREAM,36,1,available,,,CREAM MORVALU,TRUE
S-1252[38],SERVANI-1252[38],rent,SERVANI-INDOWESTERN,1,5000,,,WHITE,38,1,available,,,WHITE DIAMOND TACHAP,TRUE
S-1253[34],SERVANI-1253[34],rent,SERVANI-INDOWESTERN,1,11000,,,CREAM,34,1,available,,,CREAM SAME DUPATTA VALI,TRUE
S-1254[42],SERVANI-1254[42],rent,SERVANI-INDOWESTERN,1,11000,,,CREAM,42,1,available,,,CREAM SAME DUPATTA VALI,TRUE
S-1255[40],SERVANI-1255[40],rent,SERVANI-INDOWESTERN,1,11000,,,CREAM,40,1,available,,,CREAM SAME DUPATTA VALI,TRUE
S-1256[40],INDOWESTERN-1256[40],rent,SERVANI-INDOWESTERN,1,5000,,,PISTA ,40,1,available,,,PISTA VEL NEW ,TRUE
S-1257[36],INDOWESTERN-1257[36],rent,SERVANI-INDOWESTERN,1,5000,,,PISTA,36,1,available,,,PISTA VEL NEW ,TRUE
S-1258[38],SERVANI-1258[38],rent,SERVANI-INDOWESTERN,1,5000,,,CREAM,38,1,available,,,CREAM MOR GULABI TACHAP,TRUE
S-1259[34],INDOWESTERN-1259[34],rent,SERVANI-INDOWESTERN,1,5000,,,PISTA,34,1,available,,,PISTA VEL NEW ,TRUE
S-1260[32],SERVANI-1260[32],rent,SERVANI-INDOWESTERN,1,5000,,,MULTY,32,1,available,,,MULTY AMRODARY,TRUE
