Product Name,Product Code,Category Name,Type (rent/sell),Color,Size,Rent Price,Sell Price,Discount %,Rental Gap (Max Times),Design Details,Image Filename,Status
INDOWESTERN-1219[36],,INDOWESTERN,RENT,BLUE,36,4000,,,1,BLUE MOR AMRODARY,,AVAILABLE
SERVANI-1220[42],,SERVANI,RENT,PICH,42,5000,,,1,PICH MORVALI,,AVAILABLE
SERVANI-1221[38],,SERVANI,RENT,WHITE,38,5000,,,1,WHITE MARUN TACHAP,,AVAILABLE
INDOWESTERN-1223[40],,INDOWESTERN,RENT,BLUE,40,4000,,,1,BLUE MOR AMRODARY,,AVAILABLE
SERVANI-1224[40],,SERVANI,RENT,CREAM,40,11000,,,1,SEM DUPATTA PATTERN,,AVAILABLE
SERVANI-1225[34],,SERVANI,RENT,PICH,34,5000,,,1,CREAM PICH MORAVALI,,AVAILABLE
SERVANI-1226[38],,SERVANI,RENT,PICH,38,5000,,,1,CREAM PICH DIAMOND TACHAP,,AVAILABLE
INDOWESTERN-1227[36],,INDOWESTERN,RENT,PURPLE,36,4000,,,1,PURPLE MOR KOTTI,,AVAILABLE
INDOWESTERN-1228[34],,INDOWESTERN,RENT,PURPLE,34,4000,,,1,PURPLE MOR KOTTI,,AVAILABLE
INDOWESTERN-1229[38],,INDOWESTERN,RENT,PURPLE,38,4000,,,1,PURPLE MOR KOTTI,,AVAILABLE
INDOWESTERN-1230[36],,INDOWESTERN,RENT,CREAM,36,5000,,,1,CREAM AMRODARY KOTTI PATERN,,AVAILABLE
INDOWESTERN-1231[36],,INDOWESTERN,RENT,RAMA,36,3500,,,1,RAMA COLOUR KOTTI ,,AVAILABLE
SERVANI-1232[34],,SERVANI,RENT,CREAM,34,5000,,,1,CREAM ANIMAL,,AVAILABLE
INDOWESTERN-1233[36],,INDOWESTERN,RENT,PICH,36,4000,,,1,PICH HATHI KOTTI,,AVAILABLE
INDOWESTERN-1234[36],,INDOWESTERN,RENT,PISTA,36,3500,,,1,DARK PISTA AMRODARY KOTTI,,AVAILABLE
INDOWESTERN-1235[32],,INDOWESTERN,RENT,BLUE,32,4000,,,1,BLUE MOR AMRODARY,,AVAILABLE
INDOWESTERN-1236[44],,INDOWESTERN,RENT,BLUE,44,4000,,,1,BLUE MOR AMRODARY,,AVAILABLE
SERVANI-1237[40],,SERVANI,RENT,CREAM,40,5000,,,1,CREAM MORVALI,,AVAILABLE
INDOWESTERN-1238[40],,INDOWESTERN,RENT,PURPLE,40,4000,,,1,PURPLE MOR KOTTI,,AVAILABLE
INDOWESTERN-1239[32],,INDOWESTERN,RENT,CREAM,32,4000,,,1,CREAM KOTTI PATERN,,AVAILABLE
SERVANI-1240[36],,SERVANI,RENT,CREAM,36,11000,,,1,GOLDEN SAME DUPATTA HEAVY,,AVAILABLE
INDOWESTERN-1241[38],,INDOWESTERN,RENT,WHITE,38,5000,,,1,WHITE GREEN AMRODARY,,AVAILABLE
INDOWESTERN-1242[40],,INDOWESTERN,RENT,CREAM,40,5000,,,1,CREAM MORVALI,,AVAILABLE
INDOWESTERN-1243[38],,INDOWESTERN,RENT,CREAM,38,5000,,,1,CREAM MORVALI,,AVAILABLE
INDOWESTERN-1244[40],,INDOWESTERN,RENT,WHITE,40,5000,,,1,WHITE GREEN AMRODARY,,AVAILABLE
INDOWESTERN-1245[40],,INDOWESTERN,RENT,CREAM,40,5000,,,1,PICH ANIMAL,,AVAILABLE
INDOWESTERN-1246[36],,INDOWESTERN,RENT,BLUE,36,4000,,,1,BLUE MOR AMRODARY,,AVAILABLE
SERVANI-1247[36],,SERVANI,RENT,WHITE,36,5000,,,1,OFF WHITE MORVALI,,AVAILABLE
SERVANI-1248[36],,SERVANI,RENT,CREAM,36,11000,,,1,CREAM SAME DUPATTA VALI,,AVAILABLE
SERVANI-1249[38],,SERVANI,RENT,CREAM,38,11000,,,1,CREAM SAME DUPATTA VALI,,AVAILABLE
SERVANI-1250[32],,SERVANI,RENT,WHITE,32,5000,,,1,WHITE MARUN DULHA DULHAN BELT VALI,,AVAILABLE
INDOWESTERN-1251[36],,INDOWESTERN,RENT,CREAM,36,5000,,,1,CREAM MORVALU,,AVAILABLE
SERVANI-1252[38],,SERVANI,RENT,WHITE,38,5000,,,1,WHITE DIAMOND TACHAP,,AVAILABLE
SERVANI-1253[34],,SERVANI,RENT,CREAM,34,11000,,,1,CREAM SAME DUPATTA VALI,,AVAILABLE
SERVANI-1254[42],,SERVANI,RENT,CREAM,42,11000,,,1,CREAM SAME DUPATTA VALI,,AVAILABLE
SERVANI-1255[40],,SERVANI,RENT,CREAM,40,11000,,,1,CREAM SAME DUPATTA VALI,,AVAILABLE
INDOWESTERN-1256[40],,INDOWESTERN,RENT,PISTA ,40,5000,,,1,PISTA VEL NEW ,,AVAILABLE
INDOWESTERN-1257[36],,INDOWESTERN,RENT,PISTA,36,5000,,,1,PISTA VEL NEW ,,AVAILABLE
SERVANI-1258[38],,SERVANI,RENT,CREAM,38,5000,,,1,CREAM MOR GULABI TACHAP,,AVAILABLE
INDOWESTERN-1259[34],,INDOWESTERN,RENT,PISTA,34,5000,,,1,PISTA VEL NEW ,,AVAILABLE
SERVANI-1260[32],,SERVANI,RENT,MULTY,32,5000,,,1,MULTY AMRODARY,,AVAILABLE
